chrom.i.,start.i.,end.i.,chrom.j.,start.j.,end.j.,interaction,Tes,GC,Acc
chr2L,84000,86000,2L,84000,86000,363,2,0.373813093,121.9518829
chr2L,84000,86000,2L,86000,88000,856,2.5,0.373313343,178.6861222
chr2L,84000,86000,2L,88000,90000,897,2,0.375312344,118.0335799
chr2L,84000,86000,2L,90000,92000,444,1,0.393803098,106.5706924
chr2L,84000,86000,2L,92000,94000,659,2,0.369565217,99.83196132
chr2L,84000,86000,2L,94000,96000,393,4,0.38055972,163.0454911
chr2L,84000,86000,2L,96000,98000,356,2.5,0.395302349,104.7010095
chr2L,84000,86000,2L,98000,1.00E+05,283,1.5,0.388055972,107.1920713
chr2L,84000,86000,2L,1.00E+05,102000,297,1.5,0.368815592,114.9599684
chr2L,84000,86000,2L,102000,104000,160,1.5,0.409795102,299.1508419
chr2L,84000,86000,2L,104000,106000,183,1,0.394552724,284.8211376
chr2L,84000,86000,2L,106000,108000,174,3,0.397051474,332.080556
chr2L,84000,86000,2L,108000,110000,80,5,0.413543228,537.8889842
chr2L,84000,86000,2L,110000,112000,85,2,0.391054473,116.5029911
chr2L,84000,86000,2L,112000,114000,73,1,0.393303348,114.5723064
chr2L,84000,86000,2L,114000,116000,97,7.5,0.362068966,209.3924949
chr2L,84000,86000,2L,116000,118000,112,1.5,0.376311844,103.7047543
chr2L,84000,86000,2L,118000,120000,87,1,0.399050475,141.6702406
chr2L,84000,86000,2L,120000,122000,117,2.5,0.402798601,637.0808245
chr2L,84000,86000,2L,122000,124000,86,3,0.371064468,178.2497397
chr2L,84000,86000,2L,124000,126000,74,1.5,0.404547726,182.9861797
chr2L,84000,86000,2L,126000,128000,11,2,0.4007996,129.0723122
chr2L,84000,86000,2L,128000,130000,111,6,0.41954023,861.3776622
chr2L,84000,86000,2L,130000,132000,26,4.5,0.387056472,311.9490408
chr2L,84000,86000,2L,132000,134000,62,2.5,0.448025987,279.2476502
chr2L,84000,86000,2L,134000,136000,39,1.5,0.368065967,196.5148288
chr2L,84000,86000,2L,136000,138000,72,2,0.383308346,213.2312472
chr2L,84000,86000,2L,138000,140000,63,1.5,0.388555722,116.1533514
chr2L,84000,86000,2L,140000,142000,44,2.5,0.413543228,120.3899785
chr2L,84000,86000,2L,142000,144000,72,11,0.429785107,350.2698278
chr2L,84000,86000,2L,144000,146000,55,2,0.426286857,123.2918065
chr2L,84000,86000,2L,146000,148000,37,4,0.417291354,107.902266
chr2L,84000,86000,2L,148000,150000,53,1.5,0.417041479,107.2245861
chr2L,84000,86000,2L,150000,152000,64,1,0.414542729,105.9868185
chr2L,84000,86000,2L,152000,154000,52,1.5,0.428285857,107.589186
chr2L,84000,86000,2L,154000,156000,45,2.5,0.412793603,262.3255345
chr2L,84000,86000,2L,156000,158000,48,1.5,0.397301349,202.7394969
chr2L,84000,86000,2L,158000,160000,40,5,0.379310345,517.456488
chr2L,84000,86000,2L,160000,162000,7,9,0.395302349,1895.665658
chr2L,84000,86000,2L,162000,164000,10,2,0.370564718,459.9871686
chr2L,84000,86000,2L,164000,166000,29,1.5,0.368565717,312.9422425
chr2L,84000,86000,2L,166000,168000,6,1.5,0.375062469,1021.642819
chr2L,84000,86000,2L,168000,170000,16,2.5,0.370564718,317.4140919
chr2L,84000,86000,2L,170000,172000,19,1.5,0.349575212,130.0132829
